team_number,team_name,division,hhg,hhs,hsg,hss,avg
2,Ball Busters,1,988,2871,769,2226,671
4,Bowls Deep,1,1013,2872,698,1927,579
11,Gutter Slutz,1,959,2672,763,2014,660
5,Lighthouse Realty,1,982,2809,712,1923,575
10,Maize and Strikes**,1,1012,2940,593,1646,454
9,Mosquito Bowlitos,1,1022,2858,920,2552,716
3,Pocket Pounders*,1,1026,2922,767,2124,641
1,Roger's Family Food,1,971,2791,593,1621,497
12,Team 12,1,964,2773,665,1869,497
6,Vista Lanes,1,1038,2885,809,2254,656
7,Vista Lounge,1,973,2748,642,1751,554
8,X Marks The Spot,1,1075,2973,845,2283,656
